t_ns,t_s,utm_easting,utm_northing,altitude,hdop,latitude,longitude,zone,letter
1770476547485895756,0.0,330448.59408848675,4687189.429872771,38.4,0.75,42.318495,-71.05753666666666,19,T
1770476548485525726,0.9996299700000001,330448.5985648512,4687189.614942528,38.4,0.75,42.31849666666667,-71.05753666666666,19,T
1770476549485957466,2.00006171,330448.5985648512,4687189.614942528,38.4,0.75,42.31849666666667,-71.05753666666666,19,T
1770476550481936213,2.9960404570000003,330448.5985648512,4687189.614942528,38.5,0.75,42.31849666666667,-71.05753666666666,19,T
1770476551480719804,3.9948240480000003,330448.6030412159,4687189.800012285,38.5,0.75,42.31849833333333,-71.05753666666666,19,T
1770476552483238092,4.997342336,330448.7448649275,4687189.981759964,38.6,0.75,42.3185,-71.057535,19,T
1770476553480555609,5.994659853000001,330448.7493412888,4687190.16682972,38.6,0.75,42.31850166666667,-71.057535,19,T
1770476554480514658,6.994618902,330448.7493412888,4687190.16682972,38.6,0.75,42.31850166666667,-71.057535,19,T
1770476555480554788,7.994659032,330448.75381765026,4687190.351899479,38.6,0.75,42.31850333333333,-71.057535,19,T
1770476556481551732,8.995655976,330448.75381765026,4687190.351899479,38.6,0.75,42.31850333333333,-71.057535,19,T
1770476557482300625,9.996404869000001,330448.7582940119,4687190.536969236,38.6,0.75,42.318505,-71.057535,19,T
1770476558483597589,10.997701833,330448.895641352,4687190.533647158,38.6,0.75,42.318505,-71.05753333333334,19,T
1770476559481526558,11.995630802,330448.9001177101,4687190.718716916,38.7,0.75,42.318506666666664,-71.05753333333334,19,T
1770476560485676316,12.999780560000001,330448.9001177101,4687190.718716916,38.8,0.75,42.318506666666664,-71.05753333333334,19,T
1770476561485673922,13.999778166,330448.90459406836,4687190.903786674,38.8,0.75,42.318508333333334,-71.05753333333334,19,T
1770476562488284697,15.002388941000001,330448.9090704268,4687191.088856432,38.8,0.75,42.31851,-71.05753333333334,19,T
1770476563485634722,15.999738966,330449.046417756,4687191.0855343575,38.9,0.75,42.31851,-71.05753166666666,19,T
1770476564482589996,16.99669424,330449.05089411093,4687191.270604115,38.9,0.75,42.318511666666666,-71.05753166666666,19,T
1770476565480558711,17.994662955000003,330449.05089411093,4687191.270604115,38.9,0.75,42.318511666666666,-71.05753166666666,19,T
1770476566485466024,18.999570268000003,330449.19271778583,4687191.452351801,38.9,0.75,42.318513333333335,-71.05753,19,T
1770476567485974135,20.000078379,330449.19271778583,4687191.452351801,38.9,0.75,42.318513333333335,-71.05753,19,T
1770476568473031835,20.987136079000003,330449.0598468211,4687191.640743631,39.0,0.75,42.318515,-71.05753166666666,19,T
1770476569469509360,21.983613604000002,330449.0598468211,4687191.640743631,39.1,0.75,42.318515,-71.05753166666666,19,T
1770476570464263595,22.978367839,330449.0643231765,4687191.825813389,39.1,0.75,42.31851666666667,-71.05753166666666,19,T
1770476571469100696,23.98320494,330449.0643231765,4687191.825813389,39.2,0.75,42.31851666666667,-71.05753166666666,19,T
1770476572463515914,24.977620158,330449.068799532,4687192.010883147,39.3,0.75,42.31851833333333,-71.05753166666666,19,T
1770476573463598124,25.977702368000003,330449.07327588764,4687192.195952905,39.3,0.75,42.31852,-71.05753166666666,19,T
1770476574453238473,26.967342717,330449.07327588764,4687192.195952905,39.4,0.75,42.31852,-71.05753166666666,19,T
1770476575443522154,27.957626398000002,330449.2150995452,4687192.37770059,39.4,0.75,42.31852166666667,-71.05753,19,T
1770476576453644978,28.967749222000002,330449.21957589744,4687192.562770349,39.4,0.76,42.31852333333333,-71.05753,19,T
1770476577451401434,29.965505678000003,330449.21957589744,4687192.562770349,39.4,0.76,42.31852333333333,-71.05753,19,T
1770476578445158410,30.959262654000003,330449.22405224986,4687192.7478401065,39.4,0.76,42.318525,-71.05753,19,T
1770476579445946678,31.960050922,330449.22405224986,4687192.7478401065,39.5,0.76,42.318525,-71.05753,19,T
1770476580445938265,32.960042509000004,330449.22405224986,4687192.7478401065,39.5,0.76,42.318525,-71.05753,19,T
1770476581450998261,33.965102505000004,330449.22405224986,4687192.7478401065,39.5,0.76,42.318525,-71.05753,19,T
1770476582453496952,34.967601196000004,330449.2285286025,4687192.932909866,39.5,0.76,42.31852666666666,-71.05753,19,T
1770476583450981836,35.96508608,330449.2285286025,4687192.932909866,39.5,0.76,42.31852666666666,-71.05753,19,T
1770476584448339207,36.962443451000006,330449.2285286025,4687192.932909866,39.5,0.8,42.31852666666666,-71.05753,19,T
1770476585447957121,37.962061365000004,330449.2285286025,4687192.932909866,39.5,0.8,42.31852666666666,-71.05753,19,T
1770476586444751193,38.958855437000004,330449.2285286025,4687192.932909866,39.5,0.8,42.31852666666666,-71.05753,19,T
1770476587443288125,39.957392369000004,330449.2285286025,4687192.932909866,39.6,0.8,42.31852666666666,-71.05753,19,T
1770476588448531016,40.962635260000006,330449.3703522424,4687193.114657553,39.6,0.76,42.31852833333333,-71.05752833333334,19,T
1770476589445433278,41.959537522000005,330449.3703522424,4687193.114657553,39.6,0.76,42.31852833333333,-71.05752833333334,19,T
1770476590445598944,42.959703188000006,330449.3703522424,4687193.114657553,39.6,0.76,42.31852833333333,-71.05752833333334,19,T
1770476591445696119,43.959800363,330449.3748285916,4687193.299727312,39.6,0.76,42.31853,-71.05752833333334,19,T
1770476592446619440,44.960723684,330449.3703522424,4687193.114657553,39.6,0.76,42.31852833333333,-71.05752833333334,19,T
1770476593445694194,45.959798438,330449.3703522424,4687193.114657553,39.6,0.76,42.31852833333333,-71.05752833333334,19,T
1770476594448558357,46.962662601000005,330449.3703522424,4687193.114657553,39.6,0.76,42.31852833333333,-71.05752833333334,19,T
1770476595447090872,47.961195116000006,330449.3703522424,4687193.114657553,39.6,0.75,42.31852833333333,-71.05752833333334,19,T
1770476596446555221,48.960659465000006,330449.3703522424,4687193.114657553,39.7,0.75,42.31852833333333,-71.05752833333334,19,T
1770476597447792992,49.961897236000006,330449.51217587723,4687193.296405246,39.7,0.75,42.31853,-71.05752666666666,19,T
1770476598450833309,50.964937553000006,330449.51665222296,4687193.481475002,39.7,0.75,42.318531666666665,-71.05752666666666,19,T
